Contractor_Attributes.C_PDS_SubzoneCode,Contractor_Attributes.C_PDS_Subdiscipline,IFC Type.IfcName [Type]
_NotFound
,_NotFound
,,HYD_ConcreteBeam:400D x 900W
,,HYD_ConcreteBeam:450D x 650W CAPPING BEAM
,,HYD_ConcreteBeam:500D x 2400W
,,HYD_UB-300PLUS:250UB31.4
,,HYD_SHS-Column-C350:89x89x5.0 SHS
,,Floor:Bondek 120_HYD
,,Floor:RC 230_HYD
,,Floor:RC 250 PRECAST_HYD
,,Floor:RC 350 (330 MIN)_HYD
,,Floor:RC 510_HYD
,,SUBSTATION STAIR F2:SUBSTATION STAIR F2
,,Basic Wall:RC 260 SLAB FOLD_HYD
,,Basic Wall:RC 400 SLAB FOLD_HYD
,,Basic Wall:RC 190 SLAB FOLD_HYD
,,HYD_ConcreteBeam:1240D x 250W
,,HYD_ConcreteBeam:1240D x 300W
,,HYD_ConcreteBeam:1500D x 250W
,,HYD_ConcreteBeam:270D x 900W
,,HYD_ConcreteBeam:350D MIN x 2400W
,,HYD_ConcreteBeam:400D x 2400W MIN
,,HYD_ConcreteBeam:450D x 2400W
,,HYD_ConcreteBeam:450D x 900W CAPPING BEAM
,,HYD_SHS-C350:200x200x10.0 SHS
,,FABRICATED T:FABRICATED T SECTION
,,HYD_RHS-Column-C350:400x200x10.0 RHS
,,HYD_RHS-Column-C350:400x200x16.0 RHS
,,FIRE EXIT ON PAC HWY:FIRE EXIT ON PAC HWY
,,SUBSTATION STAIR GROUND:SUBSTATION STAIR GROUND
,,Basic Wall:RC 2400 SLAB FOLD_HYD
,,Basic Wall:Precast 250_HYD
,,FABRICATED T 355 x 16 SECTION:355 X 120 T SECTION
,,FABRICATED T 400 x 16 SECTION:400 X 120 T SECTION
,,HYD_ConcreteBeam:300D MIN x 2400W R.C.
,,HYD_ConcreteBeam:350D x 740W
,,HYD_ConcreteBeam:400D x 2400W
,,HYD_ConcreteBeam:425D x 2400W
,,HYD_ConcreteBeam:700D x 2400W
,,HYD_ConcreteBeam:850D x 2400W
,,FABRICATED T 160 x 16 SECTION:FABRICATED T 160 x 45.5 SECTION
,,HYD_EA-Column-300PLUS:200x200x13 EA
,,HYD_RHS-Column-C350:300x200x16.0 RHS
,,Floor:RC 225_HYD
,,Floor:RC 275_HYD
,,Floor:RC 300 VARIABLE_HYD
